symbol,timeframe,timestamp,price,direction,tier,components
BTCUSDT,15m,2024-01-01 08:30:00,42530.4,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 08:30:00,42530.4,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 08:30:00,42530.4,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 08:45:00,42588.2,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 08:45:00,42588.2,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 08:45:00,42588.2,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 08:45:00,42588.2,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 09:00:00,42609.0,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 09:00:00,42609.0,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 09:00:00,42609.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 09:00:00,42609.0,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 09:00:00,42609.0,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 09:15:00,42622.9,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 09:15:00,42622.9,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 09:15:00,42622.9,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 09:15:00,42622.9,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 09:15:00,42622.9,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 09:30:00,42675.2,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 09:30:00,42675.2,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 09:30:00,42675.2,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 09:30:00,42675.2,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 09:30:00,42675.2,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 09:45:00,42688.8,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 09:45:00,42688.8,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 09:45:00,42688.8,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 09:45:00,42688.8,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 09:45:00,42688.8,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 10:00:00,42700.0,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 10:00:00,42700.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 10:00:00,42700.0,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 10:00:00,42700.0,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 10:15:00,42703.7,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 10:15:00,42703.7,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 10:15:00,42703.7,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 10:15:00,42703.7,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 10:30:00,42755.8,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 10:30:00,42755.8,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 10:30:00,42755.8,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 10:30:00,42755.8,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 10:30:00,42755.8,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 10:45:00,42727.7,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 10:45:00,42727.7,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 10:45:00,42727.7,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 10:45:00,42727.7,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 10:45:00,42727.7,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 11:00:00,42730.0,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 11:00:00,42730.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 11:00:00,42730.0,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 11:00:00,42730.0,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 11:15:00,42715.0,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 11:15:00,42715.0,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 11:15:00,42715.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 11:15:00,42715.0,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 11:15:00,42715.0,NEUTRAL,4,detect_bos_simple;detect_order_block_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 11:30:00,42647.2,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 11:30:00,42647.2,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 11:30:00,42647.2,SHORT,2,detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 11:45:00,42727.6,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 11:45:00,42727.6,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 11:45:00,42727.6,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 11:45:00,42727.6,LONG,3,detect_order_block_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 12:00:00,42669.0,SHORT,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 12:00:00,42669.0,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 12:00:00,42669.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 12:00:00,42669.0,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 12:00:00,42669.0,SHORT,4,detect_bos_simple;detect_order_block_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 12:15:00,42724.1,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 12:15:00,42724.1,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 12:15:00,42724.1,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 12:15:00,42724.1,LONG,3,detect_order_block_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 12:30:00,42789.9,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 12:30:00,42789.9,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 12:30:00,42789.9,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 12:30:00,42789.9,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 12:45:00,42682.0,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 12:45:00,42682.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 12:45:00,42682.0,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 12:45:00,42682.0,SHORT,3,detect_order_block_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 13:00:00,42742.6,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 13:00:00,42742.6,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 13:00:00,42742.6,LONG,2,detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 13:15:00,42752.7,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 13:15:00,42752.7,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 13:15:00,42752.7,LONG,2,detect_equal_highs_lows_simple;bull_candle
